file,documentID,instanceID,parentDocumentID,parentInstanceID
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid10_c2.tif,adobe:docid:photoshop:b4ab3906-f59e-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid11_c1.tif,adobe:docid:photoshop:4dda80d1-f5a1-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid11_c2.tif,adobe:docid:photoshop:f163134a-f5a0-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid12_c1.tif,adobe:docid:photoshop:736c36f7-f5a1-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid12_c2.tif,adobe:docid:photoshop:4dda80d9-f5a1-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid13_c1.tif,adobe:docid:photoshop:97e649ca-f5a1-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid13_c2.tif,adobe:docid:photoshop:97e649c3-f5a1-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid14_c1.tif,adobe:docid:photoshop:ea1f4693-f59f-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid14_c2.tif,adobe:docid:photoshop:5ac1f13a-f59f-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/force01_c1.tif,adobe:docid:photoshop:1b33b012-f58d-11da-a00b-d3c6898ad5f3,,adobe:docid:photoshop:2b918ab5-f58c-11da-a00b-d3c6898ad5f3,uuid:2b918ab6-f58c-11da-a00b-d3c6898ad5f3
